"propertyid","address","city","state","zipcode","price","bedrooms","bathrooms","squarefeet","datelisted","geometry"
38523050,"690 SW 1ST CT APT 1927","Miami","FL","33130",128500,,1,602,,"POINT(-80.196227 25.7679)"
38523067,"200 BISCAYNE BOULEVARD WAY APT 4608","Miami","FL","33131",720000,2,2.5,1500,,"POINT(-80.189544 25.770527)"
38523065,"130 NW 199TH ST","Miami","FL","33169",107000,3,2,1678,,"POINT(-80.203934 25.95686)"
38523063,"9530 SW 78TH ST","Miami","FL","33173",149000,3,2,1978,,"POINT(-80.348801 25.696186)"
38523069,"1865 BRICKELL AVE APT A2107","Miami","FL","33129",,1,1.5,1064,,"POINT(-80.196305 25.754149)"
38523075,"7635 SW 99TH CT","Miami","FL","33173",134900,4,2,1633,,"POINT(-80.354676 25.697164)"
38523074,"3900 BISCAYNE BLVD # S-504","Miami","FL","33137",499600,1,1,780,,"POINT(-80.189633 25.813714)"
38523080,"15256 SW 25TH TER","Miami","FL","33185",215000,3,2,1646,,"POINT(-80.441522 25.743092)"
38523077,"3900 BISCAYNE BLVD # S-304","Miami","FL","33137",490000,1,1,780,,"POINT(-80.189633 25.813714)"
38523089,"9360 SW 77TH ST","Miami","FL","33173",544500,3,2,2062,,"POINT(-80.345464 25.696985)"
38523091,"3651 FROW AVE","Miami","FL","33133",100,,,,,"POINT(-80.251963 25.729284)"
38523096,"335 S BISCAYNE BLVD APT 904","Miami","FL","33131",315000,1,1,846,,"POINT(-80.185408 25.771612)"
38523092,"15214 SW 25TH TER","Miami","FL","33185",299000,3,2.5,1959,,"POINT(-80.440699 25.743118)"
38523098,"7761 SW 18TH TER","Miami","FL","33155",335000,3,2,2725,,"POINT(-80.322044 25.753398)"
38523106,"12312 SW 148TH TER","Miami","FL","33186",114000,2,2,1261,,"POINT(-80.392716 25.629898)"
38523109,"9355 SW 78TH ST","Miami","FL","33173",,3,2,1737,,"POINT(-80.34548 25.696704)"
38523104,"7741 SW 18TH TER","Miami","FL","33155",,3,2,1904,,"POINT(-80.321571 25.753405)"
38523110,"3086 SW 153RD PATH","Miami","FL","33185",159100,3,2,1710,,"POINT(-80.444015 25.73826)"
38523125,"690 SW 1ST CT APT 1728","Miami","FL","33130",158900,,1,638,,"POINT(-80.196227 25.7679)"
38523123,"2135 NW 13TH ST","Miami","FL","33125",60000,2,1,1202,,"POINT(-80.230114 25.785567)"
38523129,"1516 SW 150TH AVE","Miami","FL","33194",485000,4,3,3338,,"POINT(-80.438978 25.752908)"
38523131,"16560 SW 85TH LN","Miami","FL","33193",163000,3,2.5,2016,,"POINT(-80.460938 25.685889)"
38523137,"12313 SW 147TH TER","Miami","FL","33186",100000,2,1,980,,"POINT(-80.392811 25.631152)"
38523134,"8105 SW 87TH CT","Miami","FL","33173",665000,3,2,2024,,"POINT(-80.334021 25.694118)"
38523133,"7641 SW 93RD AVE","Miami","FL","33173",290000,3,2,2689,,"POINT(-80.343691 25.697262)"
38523141,"8516 SW 165TH PL","Miami","FL","33193",245000,3,2.5,2016,,"POINT(-80.461201 25.68649)"
38523148,"7705 NW 10TH AVE","Miami","FL","33150",,3,2,1810,,"POINT(-80.213006 25.844948)"
38523152,"1050 BRICKELL AVE APT 1508","Miami","FL","33131",360000,1,1,731,,"POINT(-80.192195 25.763279)"
